index,latitude,longitude,city
361,29.8988618,-93.9288723,"TX, Port Arthur"
362,34.4263886,-117.3008784,"CA, Hesperia"
363,48.7544012,-122.478836,"WA, Bellingham"
364,42.3238056,-83.4005321,"MI, Westland"
365,47.6144219,-122.192337,"WA, Bellevue"
366,41.7002024,-71.4161108,"RI, Warwick"
367,39.1134562,-94.626497,"KS, Kansas City"
368,26.640628,-81.8723084,"FL, Fort Myers"
369,41.5235808,-90.5770967,"IA, Davenport"
370,40.385549,-105.04436132094955,"CO, Loveland"
371,40.7433066,-74.0323752,"NJ, Hoboken"
372,40.6687141,-74.1143091,"NJ, Bayonne"
373,38.635042999999996,-76.90631608403362,"MD, Waldorf"
374,37.1968298,-93.2946576,"MO, Springfield"
375,31.098207,-97.3427847,"TX, Temple"
376,32.3512601,-95.3010624,"TX, Tyler"
377,43.4887907,-112.03628,"ID, Idaho Falls"
378,42.3192548,-85.1824269,"MI, Battle Creek"
379,33.7192808,-116.2188054,"CA, Indio"
380,34.1976308,-119.1803818,"CA, Oxnard"
381,32.6400541,-117.0841955,"CA, Chula Vista"
382,26.2128609,-80.2497707,"FL, Tamarac"
383,33.1958696,-117.3794834,"CA, Oceanside"
384,40.4797828,-88.9939147,"IL, Bloomington"
385,34.2257282,-77.9447107,"NC, Wilmington"
386,35.4108278,-80.8429304,"NC, Huntersville"
387,33.8708215,-117.9294165,"CA, Fullerton"
388,27.9094665,-82.7873244,"FL, Largo"
389,27.8428025,-82.6995444,"FL, Pinellas Park"
390,47.313494,-122.33931,"WA, Federal Way"
391,36.0625843,-94.1574328,"AR, Fayetteville"
